ENSG00000126903	ENSG00000160219	ENSG00000071889	ENSG00000185973	ENSG00000130830	ENSG00000102178	ENSG00000102125	ENSG00000269335	ENSG00000160211	ENSG00000165775	ENSG00000177854	ENSG00000203879	ENSG00000102119	ENSG00000102032	ENSG00000172534	ENSG00000184216	ENSG00000169057	ENSG00000182484	ENSG00000071859	ENSG00000196976	ENSG00000185010	ENSG00000131002	ENSG00000197180	ENSG00000277203	ENSG00000155962	ENSG00000278212	ENSG00000071553	ENSG00000013563	ENSG00000260197	ENSG00000168939	ENSG00000130827	ENSG00000012817	ENSG00000210144	ENSG00000130826	ENSG00000210140	ENSG00000165246	ENSG00000114374	ENSG00000092377	ENSG00000099725	ENSG00000155959	ENSG00000176728	ENSG00000198692	ENSG00000273906	ENSG00000183878	ENSG00000067048	ENSG00000124333	ENSG00000067646	ENSG00000185515	ENSG00000155961	ENSG00000210196	ENSG00000280195	condition
732	264	1616	113	796	1678	1156	102	674	2174	331	4763	1870	200	1985	5459	2260	223	2312	466	266	4459	96	70	323	194	6095	396	71	62	1869	3168	370	2417	297	448	2389	81	619	1327	193	1010	213	713	2766	980	327	728	160	359	67	1
609	229	1183	114	789	825	914	96	718	987	214	3424	1302	104	1979	2059	2212	180	1182	230	402	1732	91	118	142	180	3922	262	97	117	2146	2338	75	985	153	405	1367	80	741	555	353	542	319	589	1961	827	234	467	88	164	33	1
105	50	199	17	222	180	113	8	118	418	55	891	322	24	315	388	424	24	309	45	182	1517	34	57	46	98	1104	61	27	21	341	641	43	386	33	77	983	41	140	617	124	343	270	252	923	496	106	410	154	135	11	1
35	17	164	0	98	143	143	0	56	275	24	508	286	12	126	116	119	21	477	73	26	390	68	26	13	35	727	2	0	5	150	99	820	153	394	20	122	0	12	107	125	39	17	25	113	60	18	40	68	870	7	1
330	96	709	64	563	486	693	23	349	844	203	2575	969	41	1152	791	1393	128	771	170	146	2561	79	168	73	71	3048	136	103	87	1411	1531	644	673	273	233	1351	48	1375	421	345	412	245	432	1380	440	183	391	65	204	32	1
137	64	259	55	367	258	379	4	131	702	46	1980	673	19	684	257	932	48	328	85	196	766	47	116	126	13	749	48	108	47	412	699	661	323	629	224	726	6	309	376	160	326	73	227	986	465	82	221	28	1044	5	1
543	285	652	102	433	354	851	13	284	974	125	2994	1780	33	1429	472	1206	58	516	273	163	637	116	87	82	43	2005	97	14	38	786	1000	320	381	321	235	659	7	555	180	273	302	74	272	754	226	41	149	34	426	22	1
233	65	427	45	496	254	377	20	203	525	81	1790	761	20	766	455	1029	50	374	110	115	1113	45	63	32	42	1798	107	14	38	772	1053	213	462	212	156	856	27	891	178	200	277	130	308	710	197	56	235	13	187	24	1
207	178	610	74	934	470	701	6	257	1238	129	3155	1316	44	1191	698	1561	89	668	175	322	3721	111	199	125	190	2677	117	214	119	987	1905	812	1030	1009	342	2074	48	1410	724	564	690	435	615	2427	728	176	618	127	1564	44	1
685	316	911	93	918	610	752	39	401	950	126	3662	1575	61	1371	1029	2128	111	819	182	350	1259	58	155	170	76	1630	114	147	78	1225	1862	263	510	196	416	1183	2	538	571	249	464	10	306	1560	603	145	271	91	237	15	1
316	64	539	73	601	348	368	1	200	1094	148	2265	1139	13	1101	498	1285	56	311	142	273	2853	100	127	76	135	2791	115	124	70	648	899	484	643	532	319	1920	47	391	811	455	746	418	563	2163	904	267	618	92	1022	32	1
217	65	251	42	280	182	381	1	91	468	58	1631	954	19	414	131	503	79	250	80	68	192	48	81	56	16	474	28	19	18	268	420	357	146	767	59	241	0	104	55	111	131	2	77	140	72	31	29	21	201	10	1
720	200	594	368	707	440	767	6	333	3150	207	3671	3445	17	2120	362	1020	40	421	294	298	681	74	192	255	161	1309	20	101	35	418	1164	2349	433	2427	191	729	11	506	459	253	1054	45	413	1172	686	77	189	28	2647	22	1
418	31	815	53	431	495	495	0	270	1503	126	2267	1428	45	820	427	737	85	1083	323	68	201	60	67	124	65	714	21	13	8	442	768	1807	256	2169	59	157	0	157	102	126	345	0	95	343	129	21	58	5	1007	28	1
104	48	401	22	220	192	463	3	124	562	108	1324	660	55	340	511	341	113	1031	173	38	331	93	42	24	52	1061	47	1	14	410	339	1106	386	1217	63	89	25	93	96	150	125	32	79	160	45	15	62	16	852	13	1
388	87	769	77	606	375	809	7	256	1125	179	2647	1519	9	1255	472	1589	113	448	226	172	3986	75	173	75	43	2668	175	230	64	1081	1160	710	530	577	293	1632	20	2355	514	581	605	229	700	1832	550	226	549	65	680	46	1
231	104	391	37	278	230	400	19	190	405	51	1452	487	40	453	354	623	86	375	93	174	355	33	54	33	24	885	36	11	31	660	798	65	247	119	98	376	10	256	100	134	138	71	113	408	97	38	84	25	105	6	1
310	309	892	51	525	568	1020	23	475	1251	178	4111	1307	125	1457	1662	1163	177	2122	295	189	2075	151	201	157	173	4041	174	19	39	1768	1842	1568	1592	551	99	1097	55	590	366	641	505	188	288	631	341	102	465	39	1307	22	1
160	78	391	76	425	233	425	24	162	648	43	1766	824	14	596	397	866	81	563	49	99	176	23	40	76	70	618	56	22	35	250	1026	527	363	392	114	282	3	99	109	83	280	8	112	520	126	20	114	45	309	1	1
618	86	1366	63	636	688	872	104	773	1464	203	4320	2079	277	2418	2622	2219	325	1675	295	200	2263	144	79	119	170	4872	377	79	40	2838	2355	232	1152	309	207	1238	55	1187	549	508	655	101	596	1326	577	142	446	69	348	44	1
301	73	776	56	309	455	727	55	223	966	75	2332	968	65	953	741	930	201	987	204	133	213	38	59	71	45	892	198	19	39	599	1064	470	319	397	78	281	5	239	125	155	487	10	159	300	72	36	64	13	90	18	1
469	211	810	105	760	560	1069	19	270	1146	166	3803	1718	43	1535	860	2375	137	652	231	325	2202	72	181	128	234	2037	126	251	64	1039	1883	368	819	668	459	1901	27	996	633	441	610	147	477	2410	614	203	406	80	395	63	1
762	166	1677	84	1189	1354	1321	123	829	1755	377	5328	1917	93	3068	3515	2977	144	1860	355	474	3171	137	238	136	416	7746	432	129	156	3769	2928	412	1697	473	365	2723	163	1041	1173	597	957	834	709	2584	1131	349	892	225	529	76	1
95	49	193	16	176	152	102	6	103	430	63	583	323	32	272	286	424	19	255	72	86	1183	16	34	38	73	1236	21	54	15	196	415	40	378	137	91	712	14	119	318	139	233	64	267	818	294	106	188	60	284	12	1
346	47	900	47	625	627	577	54	472	833	175	2623	1063	65	1606	1544	1810	117	700	136	210	3328	80	40	27	200	3779	252	100	102	1968	1941	93	850	508	213	1652	71	979	431	443	456	204	796	1803	486	301	482	62	220	45	1
190	31	434	24	301	275	413	23	236	443	96	1710	592	16	911	787	845	102	580	85	94	2675	33	52	20	18	1988	120	58	21	801	1165	83	596	206	133	1242	61	158	410	219	275	168	287	1209	281	205	250	86	51	24	1
257	70	561	75	449	297	583	19	252	757	132	2061	866	80	764	596	931	87	730	123	99	973	94	40	60	65	1977	77	13	28	862	1547	988	803	683	160	789	37	1413	135	420	303	152	374	760	149	94	234	44	522	7	1
355	241	590	69	466	324	660	31	226	588	103	2418	804	55	930	683	1388	84	506	99	505	1235	41	49	111	82	1083	91	130	61	954	1696	126	451	397	314	1059	3	561	276	167	288	12	323	1304	413	156	205	45	134	11	1
450	77	1173	62	360	975	801	61	610	2279	244	3772	1194	173	1891	3023	1333	271	1446	257	267	1819	109	62	153	236	5164	330	44	31	3468	1852	254	1386	328	91	2778	132	322	1070	185	535	371	362	1217	893	170	1072	216	375	57	1
172	40	366	36	171	275	250	19	253	424	94	1200	466	26	760	749	613	69	512	75	103	719	26	61	46	63	1906	110	33	15	710	705	92	393	181	103	642	20	302	315	154	212	117	265	685	304	100	215	22	47	25	1
494	196	768	77	452	305	538	11	287	728	139	1820	889	37	772	308	700	84	280	228	294	484	51	41	74	43	2050	114	22	42	369	628	230	226	754	145	427	22	397	195	159	255	47	243	550	217	84	125	36	132	18	1
277	62	518	51	345	296	382	17	285	509	93	1810	871	32	949	568	1228	63	403	83	109	1431	31	44	43	30	1612	115	104	23	866	1103	247	442	106	199	1027	26	744	323	242	298	65	422	1144	348	165	273	55	85	26	1
99	32	212	30	108	153	185	11	95	268	41	833	423	4	462	447	511	34	286	53	55	894	22	36	30	30	761	32	37	24	360	603	70	272	167	136	657	19	225	204	129	189	77	241	698	189	89	132	37	157	12	1
662	135	1250	78	417	848	857	37	624	1355	234	3908	1779	88	1964	1686	1689	191	692	275	283	4288	90	67	79	154	4736	304	60	47	1901	2359	2329	1631	1891	222	2474	104	888	773	493	633	257	780	2262	625	337	684	108	854	106	1
294	71	542	64	392	328	406	24	218	496	121	1936	728	25	855	660	1275	80	536	95	115	843	44	53	63	55	1164	86	66	54	799	1075	368	359	381	267	824	16	390	252	193	222	72	233	899	319	105	182	49	222	16	1
353	111	819	66	566	745	705	73	419	945	174	3143	1149	44	1879	2014	1979	57	947	205	282	3479	46	44	71	168	4157	230	152	88	1418	2025	130	1295	332	281	2420	113	849	858	443	692	331	711	2644	890	481	561	134	160	47	1
350	80	823	98	859	510	793	26	366	1307	209	2769	1244	17	1327	1020	1959	163	829	142	285	4902	123	132	82	157	3649	168	160	71	1551	2090	663	1306	599	424	2400	59	2034	697	819	702	351	1135	2499	607	260	601	29	1083	19	1
418	183	584	153	800	501	529	17	352	963	141	3650	1777	18	1118	260	1917	136	245	104	285	842	47	70	129	89	977	76	176	74	393	1415	516	461	212	296	1171	12	450	559	211	590	25	319	1737	630	180	241	93	137	8	1
179	40	404	17	321	342	366	22	160	575	105	1330	514	5	515	798	576	82	734	129	130	1375	61	49	25	40	1676	62	50	30	688	687	194	463	401	101	709	42	150	349	217	343	303	210	670	411	116	289	44	366	16	1
243	138	440	42	424	362	291	23	304	763	104	2156	917	47	920	665	1185	60	431	134	369	2532	52	76	133	24	2624	150	99	78	763	1164	187	755	184	245	5266	63	442	829	161	494	205	624	2114	924	367	576	187	405	44	1
392	61	967	20	629	489	654	53	564	753	206	2782	1105	43	1455	1537	1271	142	667	305	123	1252	81	57	22	135	4062	284	15	48	1957	1312	132	798	456	77	762	30	107	129	253	247	98	173	514	177	89	259	32	28	59	1
376	51	1127	19	513	790	787	70	767	843	238	3505	1233	55	2445	2884	1589	172	1041	330	124	1646	96	127	39	244	5314	298	7	24	2851	1975	133	1356	754	154	1712	73	367	320	303	208	117	311	643	324	170	388	165	116	78	1
