ENSG00000126903	ENSG00000160219	ENSG00000071889	ENSG00000185973	ENSG00000130830	ENSG00000102178	ENSG00000102125	ENSG00000269335	ENSG00000160211	ENSG00000165775	ENSG00000177854	ENSG00000203879	ENSG00000102119	ENSG00000102032	ENSG00000172534	ENSG00000184216	ENSG00000169057	ENSG00000182484	ENSG00000071859	ENSG00000196976	ENSG00000185010	ENSG00000131002	ENSG00000197180	ENSG00000277203	ENSG00000155962	ENSG00000278212	ENSG00000071553	ENSG00000013563	ENSG00000260197	ENSG00000168939	ENSG00000130827	ENSG00000012817	ENSG00000210144	ENSG00000130826	ENSG00000210140	ENSG00000165246	ENSG00000114374	ENSG00000092377	ENSG00000099725	ENSG00000155959	ENSG00000176728	ENSG00000198692	ENSG00000273906	ENSG00000183878	ENSG00000067048	ENSG00000124333	ENSG00000067646	ENSG00000185515	ENSG00000155961	ENSG00000210196	ENSG00000280195	condition
816	205	947	146	652	609	929	40	531	1105	254	3096	1565	54	1796	1050	1906	191	729	229	303	1753	85	140	153	176	3783	249	124	123	1840	1732	161	633	338	435	1502	63	1086	592	360	484	276	736	2224	746	326	455	88	206	38	1
650	167	595	57	460	307	706	10	334	1428	174	2267	1644	55	1203	582	1256	78	265	406	217	1443	265	96	114	164	6085	228	39	46	1247	806	325	256	2588	133	1351	33	282	355	65	325	81	312	444	482	136	233	156	298	47	1
64	44	162	16	152	108	212	7	63	239	40	687	228	13	224	219	340	15	225	37	54	1375	43	28	33	55	620	25	47	20	357	552	233	227	131	96	519	12	478	189	224	135	89	196	656	165	63	192	25	342	8	1
344	57	729	23	472	499	451	26	356	778	171	3035	981	50	1815	966	1201	86	540	163	145	807	64	82	34	105	3807	258	11	18	2053	1444	108	680	360	108	1299	71	102	239	290	174	100	283	679	178	118	225	117	129	40	1
759	378	1652	105	1049	1431	1628	195	1340	2381	349	6674	2257	301	3764	4860	3082	259	2920	443	534	9275	127	96	287	274	8938	642	109	69	3055	5104	480	3262	344	510	4817	155	1452	1225	851	979	221	1499	4106	1316	530	1090	316	463	170	1
426	186	712	65	409	397	594	52	411	582	157	2203	892	131	1354	1039	1532	106	611	144	243	421	29	84	111	42	2012	168	44	50	1023	1280	213	553	686	130	561	26	467	149	160	188	40	251	689	231	92	122	40	95	33	1
152	57	279	48	328	234	241	12	184	565	85	1273	631	33	521	512	857	39	424	80	194	2398	60	51	44	81	1532	67	75	41	698	978	125	555	184	213	1445	34	795	592	329	429	104	621	1598	426	228	416	72	277	12	1
254	58	663	43	481	495	573	22	314	787	147	2278	781	28	981	872	1194	167	628	168	179	2613	67	124	34	47	2983	109	73	68	1378	1284	466	676	294	258	1310	51	1079	433	350	380	298	402	1209	430	143	380	59	144	29	1
506	120	739	28	556	544	698	17	469	904	217	2797	1348	61	1427	814	1388	62	354	307	182	1141	79	72	43	49	4190	222	29	30	1354	978	101	477	1057	138	1260	20	176	216	219	240	44	291	762	250	131	310	196	116	52	1
531	135	1128	73	463	606	796	44	537	775	191	2860	1348	71	2066	1862	1734	163	800	201	97	602	55	78	46	130	3012	193	20	42	1519	1622	55	805	354	137	489	41	304	174	211	171	75	234	614	186	79	220	60	47	44	1
364	48	882	23	314	616	615	68	638	721	177	3513	1154	100	2246	2010	1447	107	1082	262	122	966	102	115	40	86	4111	349	18	29	3134	1592	44	996	250	102	2080	40	217	246	89	200	56	277	731	206	173	318	108	36	45	1
281	91	596	13	234	377	527	22	388	571	133	1995	858	52	1357	1305	932	65	573	213	97	1623	27	44	65	36	2658	182	6	15	1207	1474	89	679	349	34	788	55	190	237	205	258	121	225	652	227	98	298	10	74	35	1
434	143	872	75	586	346	601	25	414	582	100	2283	918	53	1428	929	1535	94	448	154	304	635	64	57	64	108	2338	132	39	64	1016	1209	302	423	1167	220	670	40	406	167	164	211	85	314	807	276	115	202	48	119	21	1
198	30	544	34	345	296	335	18	196	624	115	1474	708	43	493	595	741	57	756	151	139	1351	88	41	54	36	1517	85	65	32	623	862	194	472	512	213	895	10	436	324	158	376	118	349	943	372	181	176	53	232	11	1
218	57	103	30	204	71	212	0	52	287	42	671	399	14	314	87	384	15	76	65	113	288	17	37	61	51	662	20	11	28	182	180	126	66	88	95	389	2	200	121	92	108	31	134	211	186	40	66	15	39	16	1
220	95	558	44	252	286	443	17	224	520	92	1843	655	59	758	512	946	114	353	104	234	1968	28	33	92	105	1786	143	66	36	924	1371	98	597	207	142	909	51	381	346	301	237	128	282	981	312	172	248	14	105	17	1
166	25	453	37	291	319	338	25	203	591	136	1376	576	32	594	978	583	73	669	127	144	1439	56	71	32	55	2219	94	33	67	612	839	169	559	405	118	790	47	211	371	227	297	178	278	799	397	130	270	48	315	33	1
218	47	666	53	387	279	539	19	231	532	88	1687	719	24	835	651	1150	117	587	93	112	1713	35	53	20	104	1576	92	56	69	920	1261	202	433	292	182	934	17	720	212	330	186	62	409	1023	258	131	225	27	117	10	1
584	126	1168	89	540	458	724	20	383	846	211	2920	1497	40	1426	523	1845	137	418	259	169	722	55	63	75	131	3079	227	42	72	1282	1193	131	492	436	206	863	57	635	247	268	244	81	395	948	238	168	254	53	63	27	1
382	146	816	46	417	608	581	53	551	843	185	3292	1389	39	2336	1768	1788	126	681	222	139	1579	57	61	67	183	3849	267	30	57	1638	1824	128	1377	773	189	1307	84	351	367	285	265	111	405	929	313	204	357	100	86	96	1
197	42	591	33	206	249	322	26	217	397	83	1402	558	31	664	763	680	72	487	83	130	688	31	31	19	24	1477	77	13	37	679	770	228	308	87	76	395	36	262	243	139	180	76	177	602	200	72	127	21	123	7	1
849	217	1612	120	877	1102	1611	127	921	1685	392	5575	2134	175	2887	2521	3112	242	2471	304	706	4493	148	88	181	228	5926	411	180	126	3645	4391	516	1947	803	603	2796	90	3642	909	905	1018	340	1172	3711	1054	497	799	118	846	82	1
179	55	713	10	365	342	628	15	286	647	132	2313	958	85	553	846	522	91	1763	240	108	1010	102	102	51	65	2303	76	15	11	1062	790	329	521	289	62	469	35	112	265	124	267	297	144	456	194	45	152	36	216	25	1
626	123	1170	85	731	746	681	72	711	1208	259	3762	1406	43	2166	1718	2342	166	679	244	355	2288	112	109	95	206	6230	313	71	91	2363	2237	169	1109	189	294	2086	138	553	707	419	531	414	710	2073	792	278	550	198	169	74	1
592	92	1168	42	555	915	1066	62	654	954	242	3836	1305	67	2522	3495	1961	226	1433	277	221	3354	62	124	92	122	5314	332	97	34	3349	2676	145	1693	287	314	1845	68	1028	652	414	486	149	580	2111	690	341	604	149	328	54	1
661	124	1199	35	388	940	641	77	959	1368	302	4382	1195	241	1808	1833	1521	139	1269	404	165	124	156	92	80	63	8665	514	6	20	2085	541	505	738	324	52	171	1	157	353	35	45	3	107	275	221	37	285	86	75	33	1
1247	165	2364	67	1847	2360	1391	161	1471	2553	514	8306	3351	204	3283	5549	2815	271	3043	829	594	1265	241	244	129	431	11815	644	26	52	2575	2371	229	3067	990	295	4619	83	390	903	474	170	238	552	1109	611	166	558	295	391	45	1
539	99	1467	45	661	778	905	42	693	1256	292	3751	1567	99	1773	1758	1569	195	1310	423	134	474	159	151	49	210	4822	163	1	30	1614	1220	249	684	1866	113	370	48	326	144	260	285	113	195	317	167	50	187	85	277	105	1
1479	238	2042	167	939	608	1744	29	550	2818	760	4094	3362	65	1986	1010	1750	194	1209	755	373	1550	344	273	195	159	10818	278	37	146	1870	1018	890	443	1604	283	968	81	980	619	739	640	274	648	731	610	179	298	77	305	65	1
296	96	420	53	334	359	327	26	237	566	62	1435	663	25	802	694	929	79	555	94	319	529	48	56	92	35	1076	59	44	41	393	757	338	381	289	213	586	4	186	330	116	228	29	222	925	339	111	148	57	260	4	1
833	144	1896	33	1146	1787	1351	133	1040	2760	520	6658	2307	164	3666	4761	2662	445	2429	558	417	7682	156	317	99	253	10500	534	96	156	4162	3492	992	3336	986	138	2929	115	487	1709	1184	1305	446	798	2964	1478	515	1757	168	912	133	1
126	26	391	14	156	307	161	25	178	367	74	696	251	21	440	903	314	22	326	103	79	301	19	33	36	29	1247	107	1	6	403	295	115	323	83	61	642	37	27	202	16	152	81	95	251	204	39	121	26	75	7	1
519	96	683	32	235	550	489	28	570	676	156	2800	1065	48	1308	1439	1188	97	488	157	99	1302	49	48	29	50	3558	235	11	19	2265	1372	341	861	812	85	1321	58	241	248	129	194	72	394	908	168	199	307	15	20	82	1
397	89	866	35	469	621	446	44	435	853	205	2521	975	40	1638	1465	1343	157	756	157	179	555	71	91	65	136	5205	243	10	32	1690	1244	286	548	368	127	629	55	194	396	169	243	373	277	760	373	60	269	63	246	26	1
495	149	965	53	508	567	705	31	391	789	180	2397	946	69	1712	1304	1417	179	648	259	133	899	69	104	58	113	2571	163	25	67	1438	1350	128	810	566	200	557	64	301	193	197	224	169	294	642	241	112	248	40	41	28	1
168	66	452	43	313	276	281	16	156	553	57	1345	510	12	410	387	613	56	529	66	278	1695	55	44	69	104	1241	72	103	78	537	938	369	485	277	200	1063	66	505	545	331	402	309	364	1286	399	155	306	66	619	8	1
692	396	2206	98	1000	1212	1784	112	880	1654	353	5088	1670	185	2478	2871	2255	361	2348	383	764	3696	182	133	337	103	6624	398	51	120	3247	3705	615	1733	764	277	1885	209	810	985	527	820	832	600	2288	945	282	827	246	833	36	1
257	35	710	32	500	435	802	29	320	662	165	2087	769	29	761	1076	774	52	1389	192	66	756	60	76	23	79	2517	95	9	69	1094	841	929	610	1053	58	266	89	188	156	210	199	278	123	359	121	64	198	45	213	47	1
